SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
BSE,D,1100042,OPTIDX,0,SENSEX-Oct2026-84600-PE,20.0,SENSEX 08 OCT 84600 PUT,2026-10-08 15:30:00,84600.0,PE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1100470,OPTIDX,0,SENSEX-Sep2026-68000-CE,20.0,SENSEX 24 SEP 68000 CALL,2026-09-24 15:30:00,68000.0,CE,5.0,Q,OPTIDX,,BSXOPT
BSE,D,1100720,OPTIDX,0,FOCIT-Nov2026-35000-PE,45.0,FOCIT 26 NOV 35000 PUT,2026-11-26 15:30:00,35000.0,PE,5.0,M,OPTIDX,,BITOPT
BSE,D,1100722,OPTIDX,0,SENSEX50-Nov2026-25500-PE,75.0,SENSEX50 26 NOV 25500 PUT,2026-11-26 15:30:00,25500.0,PE,5.0,M,OPTIDX,,SX50OPT
BSE,D,1100723,OPTIDX,0,FOCIT-Nov2026-37300-PE,45.0,FOCIT 26 NOV 37300 PUT,2026-11-26 15:30:00,37300.0,PE,5.0,M,OPTIDX,,BITOPT
BSE,D,1100736,OPTIDX,0,BANKEX-Nov2026-67500-PE,30.0,BANKEX 26 NOV 67500 PUT,2026-11-26 15:30:00,67500.0,PE,5.0,M,OPTIDX,,BKXOPT
BSE,D,1100737,OPTIDX,0,SENSEX-Oct2026-82200-CE,20.0,SENSEX 15 OCT 82200 CALL,2026-10-15 15:30:00,82200.0,CE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1100742,OPTIDX,0,SENSEX-Nov2026-70800-PE,20.0,SENSEX 26 NOV 70800 PUT,2026-11-26 15:30:00,70800.0,PE,5.0,M,OPTIDX,,BSXOPT
BSE,D,1100743,OPTIDX,0,BANKEX-Nov2026-69800-PE,30.0,BANKEX 26 NOV 69800 PUT,2026-11-26 15:30:00,69800.0,PE,5.0,M,OPTIDX,,BKXOPT
BSE,D,1100745,OPTIDX,0,SENSEX-Nov2026-75200-CE,20.0,SENSEX 26 NOV 75200 CALL,2026-11-26 15:30:00,75200.0,CE,5.0,M,OPTIDX,,BSXOPT
